decision	current_or_historical_implementation	required_justification	alternative_or_sensitivity_test	status	effect_on_conclusion
species_assignment	Sequential mapping	Quantitative species-assignment performance	Competitive mapping against combined reference	pending	pending
fusarium_reference	De novo Trinity transcriptome	Inadequate mapping to available close references	Candidate genomes and cleaned transcriptome comparison	pending	pending
ophiostoma_feature_level	Exon-level historical counts	Need gene-level biological unit	Gene-level recount from BAM files	pending	pending
fusarium_quantification	Salmon	Verify exact index and parameters	Parameter and aggregation audit	pending	pending
differential_expression	DESeq2	Verify design, filtering, contrasts and diagnostics	Sensitivity analyses	pending	pending
enrichment_background	Unknown or script-dependent	All tested and annotated genes should be considered	Alternative universes if justified	pending	pending
ophiostoma_bam_header_consistency	All nine BAMs contain identical reference sequence headers	SHA-256 checksum of @SQ records is identical across samples	No alternative required	verified	no_effect
ophiostoma_alignment_parameter_consistency	All nine BAMs were produced with HISAT2 2.2.1 using the same visible options	BAM @PG records differ only by sample-specific paths and temporary pipes	Compare complete commands programmatically	verified	no_effect
ophiostoma_sorting	All nine BAM headers report coordinate sorting	Each @HD record contains SO:coordinate	Confirm with samtools quickcheck and index availability	verified	no_effect
canonical_sample_metadata	The experimental design is represented by config/samples.tsv	Original sequencing metadata maps sequentially to libraries P21526_146 through P21526_160 and defines five conditions with three biological replicates each	Preserve original labels alongside normalized machine-readable condition labels	verified	workflow_foundation
sample_label_normalization	Historical sample labels are retained while standardized labels are used computationally	Original labels vary in capitalization, spacing and punctuation, including MNN-1, ONU-interactions-1 and onu-back-1	Use original_condition_label for traceability and condition for workflow logic	verified	no_biological_effect
sample_metadata_provenance	The original sequencing metadata is preserved separately from interpreted canonical metadata	audit/sample_metadata/original_sequencing_metadata.tsv records plate positions, original names, reported read counts and Q30 values	Compare reported sequencing metrics with counts derived directly from FASTQ files during read-level QC	verified	pending_validation
ophiostoma_annotation_identified	The historical Ophiostoma annotation is annotation.gff3 (identical to Ophnu1_genes.gff3)	Byte-identical SHA256 hashes, identical feature counts (8640 genes, 8640 mRNAs, 17638 exons/CDS), and complete contig compatibility with BAMs	The prefixed annotation differs but is unnecessary for Ophiostoma-only counting	verified	workflow_foundation
ophiostoma_library_strandedness	The nine Ophiostoma libraries are counted as forward-stranded using featureCounts -s 1	RSeQC classified 96.39–98.62% of sampled reads in the forward orientation across all nine BAMs; sample 149 assigned 18159436 fragments with -s 1 but only 227834 with -s 2	Retain sample-149 featureCounts comparisons for -s 0, -s 1 and -s 2 as a sensitivity analysis	verified	workflow_foundation
ophiostoma_counting_annotation	Gene-level counting uses the converted GTF with feature type exon and gene_id aggregation	The conversion preserved 8640 transcripts and 17638 exons, and featureCounts recognized 8640 gene-level meta-features	Direct GFF3 counting with exon Parent gives identical counts because this annotation contains one mRNA per gene	verified	corrects_historical_exon_level_analysis
